Contact Developer,Verfified by developer,Investment (USD Million),Developersorted ascending,Developersorted ascendingDeveloper Category,Planned COD,Unnamed: 1,Developer Category,Project Status,State,Project Name,source
Contact,--,0.15,Bengaluru Solid Waste Management Company Limited(BBMP),Bengaluru Solid Waste Management Company Limited(BBMP)PSU,--,,PSU,Permitting,Karnataka,5 TPD Bio Mechanization,biogas
Contact,--,0.15,Bengaluru Solid Waste Management Company Limited(BBMP),Bengaluru Solid Waste Management Company Limited(BBMP)PSU,--,,PSU,Permitting,Karnataka,5 TPD BioMechanization,biogas
Contact,--,0.15,Bengaluru Solid Waste Management Company Limited(BBMP),Bengaluru Solid Waste Management Company Limited(BBMP)PSU,--,,PSU,Permitting,Karnataka,5 TPD Bio Methinzation Plant,biogas
Contact,--,--,Bengaluru Solid Waste Management Company Limited(BBMP),Bengaluru Solid Waste Management Company Limited(BBMP)PSU,--,,PSU,Permitting,Karnataka,500 TPD BIO CNG Plant,biogas
Contact,--,5.93,Bevkart Industries Limited,Bevkart Industries LimitedPrivate,--,,Private,Permitting,West Bengal,Bevkart Industries Limited Hooghly,biogas
Contact,--,5.93,Bevkart Industries Limited,Bevkart Industries LimitedPrivate,--,,Private,Under Construction,West Bengal,Bevkart Industries Limited North 24 Parganas,biogas
Contact,--,1.19,Bhagyoday Energy Private Limited,Bhagyoday Energy Private LimitedPrivate,--,,Private,Permitting,Maharashtra,Bhagyoday CBG Plant,biogas
Contact,--,2.96,Bhagyodaya Petroleum,Bhagyodaya PetroleumPrivate,--,,Private,Permitting,Maharashtra,Bhagyodaya green energy,biogas
Contact,--,3.32,Bharat Petroleum Corporation Limited,Bharat Petroleum Corporation LimitedPrivate,--,,Private,Under Construction,Kerala,BPCL Kochi Refinery CBG Plant,biogas
Contact,--,47.41,Bhiwandi Nizampur City Municipal Corporation,Bhiwandi Nizampur City Municipal CorporationPSU,--,,PSU,Permitting,Maharashtra,CBG 80 TPD Bhiwandi Nizampur City Municipal Corporation,biogas
Contact,--,3.56,Bhoomi Harjas Greentech Private Limited,Bhoomi Harjas Greentech Private LimitedPrivate,--,,Private,Permitting,Haryana,Kathura Plant,biogas
Contact,--,2.13,Biezel Green Energy Private Limited,Biezel Green Energy Private LimitedPrivate,--,,Private,Under Construction,Uttar Pradesh,Biezel Bio-Hydrogen Plant,biogas
Contact,--,3.56,Bio-WMS Private Limited,Bio-WMS Private LimitedPrivate,--,,Private,Permitting,Tamil Nadu,Bio-WMS Private Limited,biogas
Contact,--,0.01,BioInspro,BioInsproPrivate,--,,Private,Under Construction,Punjab,BioInspro,biogas
Contact,--,2.96,Biomethane Gaztech Pvt Ltd,Biomethane Gaztech Pvt LtdPrivate,--,,Private,Permitting,Punjab,ZVBPL HARGOBIND GIO ENERGY,biogas
Contact,--,2.96,Biomethane Gaztech Pvt Ltd,Biomethane Gaztech Pvt LtdPrivate,--,,Private,Permitting,Haryana,ZVBPL KARNAL CBG PLANT,biogas
Contact,--,2.96,Biomethane Gaztech Pvt Ltd,Biomethane Gaztech Pvt LtdPrivate,--,,Private,Under Construction,Uttar Pradesh,Ghaziabad CBG PLANT,biogas
Contact,--,2.96,Biomethane Gaztech Pvt Ltd,Biomethane Gaztech Pvt LtdPrivate,--,,Private,Permitting,Uttar Pradesh,ZVBPL CHANDAULI CBG PLANT,biogas
Contact,--,2.96,Biomethane Gaztech Pvt Ltd,Biomethane Gaztech Pvt LtdPrivate,--,,Private,Permitting,Punjab,ZVBPL BHATINDA CBG PLANT,biogas
Contact,--,59.26,Bittu factory,Bittu factoryPrivate,--,,Private,Permitting,Jharkhand,CNG BIO-PLANT,biogas
Contact,--,0.47,Blooms Bioenergy,Blooms BioenergyPrivate,--,,Private,Permitting,Tamil Nadu,Bloomsbioenergy,biogas
Contact,--,0.3,Blueleo Energy Private Limited,Blueleo Energy Private LimitedPrivate,--,,Private,Permitting,Telangana,BLUELEO-01,biogas
Contact,--,3.56,Bundelkhand Organic Aggregate Farmer Producer Company Limited,Bundelkhand Organic Aggregate Farmer Producer Company LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Jhansi Green Energy Project,biogas
Contact,--,1.19,C B Energy Resources,C B Energy ResourcesPrivate,--,,Private,Permitting,Uttar Pradesh,C B Energy CBG Plant,biogas
Contact,--,2.96,C R Energies Enterprises,C R Energies EnterprisesPrivate,--,,Private,Under Construction,Karnataka,Jaggery Plant,biogas
Contact,--,9.54,CEF AHMEDABAD CLEANEFFENTECH PRIVATE LIMITED,CEF AHMEDABAD CLEANEFFENTECH PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Gujarat,CEF Ahmedabad Cleaneffentech Private Limited,biogas
Contact,--,5.33,CEF Budhana Energy Private Limited,CEF Budhana Energy Private LimitedPrivate,--,,Private,Under Construction,Uttar Pradesh,CEF Budhana Energy Private Limited,biogas
Contact,--,3.32,CEID CONSULTANTS AND ENGINEERING PRIVATE LIMITED,CEID CONSULTANTS AND ENGINEERING PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Delhi,NANGLI DAIRY PLANT,biogas
Contact,--,3.32,CEID CONSULTANTS AND ENGINEERING PRIVATE LIMITED,CEID CONSULTANTS AND ENGINEERING PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Delhi,GOYLA DAIRY PLANT,biogas
Contact,--,0.3,CEO ZP mahendragarh,CEO ZP mahendragarhPrivate,--,,Private,Under Construction,Haryana,Model GOBAR-DHAN project,biogas
Contact,--,0.3,CEO ZP/DRDA Kaithal,CEO ZP/DRDA KaithalPSU,--,,PSU,Under Construction,Haryana,GOBAR DHAN,biogas
Contact,--,0.07,CG Bio Gas,CG Bio GasPrivate,--,,Private,Permitting,Chhattisgarh,CG Bio Gas,biogas
Contact,--,1.78,CHANDRAKASH CLEANFUELS PRIVATE LIMITED,CHANDRAKASH CLEANFUELS PRIVATE LIMITEDPrivate,--,,Private,Under Construction,Rajasthan,CHANDRAKASH CLEANFUELS PRIVATE LIMITED,biogas
Contact,--,2.96,CHLOROPHYLL BIO FUELS PRIVATE LIMITED,CHLOROPHYLL BIO FUELS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Chhattisgarh,CBPL,biogas
Contact,--,19.56,CLEARSKY FUEL INDUSTRIES PRIVATE LIMITED,CLEARSKY FUEL INDUSTRIES PRIVATE LIMITEDPrivate,--,,Private,Permitting,Maharashtra,CLEARSKY FUEL INDUSTRIES PRIVATE LIMITED,biogas
Contact,--,4.74,CORE GREEN SUGAR AND FUELS PRIVATE LIMITED,CORE GREEN SUGAR AND FUELS PRIVATE LIMITEDPrivate,--,,Private,Permitting,Karnataka,CORE GREEN CBG PLANT,biogas
Contact,--,2.96,CROM CLINICAL RESEARCH AND MEDICAL TOURISM PVT LTD CBG PLANT,CROM CLINICAL RESEARCH AND MEDICAL TOURISM PVT LTD CBG PLANTPrivate,--,,Private,Under Construction,Maharashtra,CROM CLINICAL RESEARCH AND MEDICAL TOURISM PVT LTD CBG PLANT,biogas
Contact,--,59.26,Chandrikaa Green Energy Solutions,Chandrikaa Green Energy SolutionsPrivate,--,,Private,Permitting,Madhya Pradesh,Chandrikaa Green Energy Solutions,biogas
Contact,--,5.69,Chaudhary Bio Resources Private Limited,Chaudhary Bio Resources Private LimitedPrivate,--,,Private,Permitting,Uttar Pradesh,Chaudhary Bio Resources Pvt. Ltd.,biogas
Contact,--,1.19,Chauhan Traders,Chauhan TradersPrivate,--,,Private,Permitting,Uttar Pradesh,Chauhan Biofuels,biogas
Contact,--,0.3,"Chief Executive Officer, Zila Parishad, Ambala","Chief Executive Officer, Zila Parishad, AmbalaPSU",--,,PSU,Under Construction,Haryana,Modal Gobhardhan Project Gram Panchayat Sullar,biogas
Contact,--,2.84,Cities Innovative Biofuels Private Limited,Cities Innovative Biofuels Private LimitedPrivate,--,,Private,Under Construction,Punjab,BioShakti Malaheri,biogas
Contact,--,2.96,Cnewable Energy Solutions Pvt Ltd,Cnewable Energy Solutions Pvt LtdPrivate,--,,Private,Permitting,Maharashtra,Cnewable Energy Solutions Pvt Ltd,biogas
Contact,--,118.52,Coimbatore City Municipal Corporation,Coimbatore City Municipal CorporationPSU,--,,PSU,Permitting,Tamil Nadu,Vellalore BioCNG Plant,biogas
Contact,--,0.04,Cooch Behar Zilla Parishad,Cooch Behar Zilla ParishadPSU,--,,PSU,Under Construction,West Bengal,BIO GAS PLANT AT MADHUPUR G.P UNDER COOCH BEHAR-II P.S,biogas
